variable name,field length
IHIALU05,"1	"
IBLACK05,"1	"
IBLALM05,"1	"
IBLALF05,"1	"
IBLALU05,"1	"
IWHITE05,"1	"
IWHALM05,"1	"
IWHALF05,"1	"
IWHALU05,"1	"
"IETH05	","1	"
IPUTCH05,"1	"
ITOTGR05,"1	"
